info,job_position_info,name,position
美团，新美大,"
硕士以上 , 3-5年 , 全职 , 30000-50000元
",,"
无人配送部-传感器标定算法工程师
","
北京
"
美团，新美大,"
本科以上 , 3-5年 , 全职 , 30000-43000元
",,"
点评App部-前端开发工程师
","
上海
"
美团，新美大,"
大专以上 , 4年以上 , 全职 , 7.2-9.6万元
",,"
快驴事业部-肉禽采购
","
南宁
"
美团，新美大,"
本科以上 , 5-10年 , 全职 , 30000-36000元
",,"
点评App部-高级IOS开发工程师
","
上海
"
百度,"
本科以上 , 2年以上 , 全职 , 37.5-60.0万元
",,"
机器学习平台研发工程师
","
北京
"
百度,"
本科以上 , 3年以上 , 全职 , 27.0-52.5万元
",,"
医美业务部社区内容运营
","
北京
"
百度,"
本科以上 , 8年以上 , 全职 , 35.0-70.0万元
",,"
线下销售管理运营经理
","
北京
"
百度,"
本科以上 , 1年以上 , 全职 , 25.5-59.5万元
",,"
数据研发工程师
","
上海
"
百度,"
本科以上 , 3-5年 , 全职 , 9000-15000元
",,"
商业写字楼运营经理
","
深圳
"
百度,"
本科以上 , 5年以上 , 全职
",,"
项目交付经理
","
北京
"
百度,"
本科以上 , 3年以上 , 全职
",,"
项目交付经理
","
上海
"
百度,"
本科以上 , 5年以上 , 全职 , 24.0-48.0万元
",,"
质量管理专家
","
北京
"
百度,"
本科以上 , 4年以上 , 全职
",,"
广告渠道投放运营经理
","
北京
"
